Tienda,ID,Producto,Precio,imgUrl
Superama,0,salchichón san rafael bernina con jamón y pistache 200 g,38.00,http://www.superama.com.mx/Content/images/products/img_large/0750170372017L.jpg
Superama,1,centro de jamón serrano riojano  por pza,999.00,http://www.superama.com.mx/Content/images/products/img_large/0750105771068L.jpg
Superama,2,jamón alemán obertal  por kg,270.00,http://www.superama.com.mx/Content/images/products/img_large/0020553400000L.jpg
Superama,3,jamón aleman obertal por kg,280.00,http://www.superama.com.mx/Content/images/products/img_large/0020544500000L.jpg
Superama,4,jamón bonnacarne extrafino mini 800 g,125.00,http://www.superama.com.mx/Content/images/products/img_large/0750222999512L.jpg
Superama,5,jamón capistrano california por kg,84.00,http://www.superama.com.mx/Content/images/products/img_large/0020573400000L.jpg
Superama,6,jamón capistrano california por kg,84.00,http://www.superama.com.mx/Content/images/products/img_large/0750168902092L.jpg
Superama,7,jamón de pavo bernina  por kg,218.00,http://www.superama.com.mx/Content/images/products/img_large/0020357400000L.jpg
Superama,8,jamón de pavo capistrano  york por kg,174.00,http://www.superama.com.mx/Content/images/products/img_large/0020503400000L.jpg
Superama,9,jamón de pavo capistrano california por kg,92.00,http://www.superama.com.mx/Content/images/products/img_large/0750168902105L.jpg
Superama,10,jamón de pavo capistrano california por kg,92.00,http://www.superama.com.mx/Content/images/products/img_large/0020573100000L.jpg
Superama,11,jamón de pavo capistrano york por kg,174.00,http://www.superama.com.mx/Content/images/products/img_large/0750168902043L.jpg
Superama,12,jamón de pavo fud  virginia 290 g,36.00,http://www.superama.com.mx/Content/images/products/img_large/0750104000583L.jpg
Superama,13,jamón de pavo fud  virginia 3.95 kg,396.00,http://www.superama.com.mx/Content/images/products/img_large/0750104000582L.jpg
Superama,14,jamón de pavo fud  virginia por kg,100.00,http://www.superama.com.mx/Content/images/products/img_large/0020544100000L.jpg
Superama,15,jamón de pavo kurson kusher 500 g,131.00,http://www.superama.com.mx/Content/images/products/img_large/0750113450065L.jpg
Superama,16,jamón de pavo parma selección natural por kg,288.00,http://www.superama.com.mx/Content/images/products/img_large/0020532000000L.jpg
Superama,17,jamón de pavo sabori  por kg,164.00,http://www.superama.com.mx/Content/images/products/img_large/0020539600000L.jpg
Superama,18,jamón de pavo san rafael  por kg,204.00,http://www.superama.com.mx/Content/images/products/img_large/0020357500000L.jpg
Superama,19,jamón de pavo san rafael  real por kg,204.00,http://www.superama.com.mx/Content/images/products/img_large/0020590300000L.jpg
Superama,20,jamón de pavo y cerdo kir  americano por kg,84.00,http://www.superama.com.mx/Content/images/products/img_large/0020510600000L.jpg
Superama,21,jamón de pavo y cerdo kir  virginia por kg,106.00,http://www.superama.com.mx/Content/images/products/img_large/0020565500000L.jpg
Superama,22,jamón de pavo y cerdo kir  virginia por kg,106.00,http://www.superama.com.mx/Content/images/products/img_large/0750114751927L.jpg
Superama,23,jamón de pavo zwan  bienestar 250 g,43.50,http://www.superama.com.mx/Content/images/products/img_large/0750105771076L.jpg
Superama,24,jamón de pavo zwan  natural por kg,178.00,http://www.superama.com.mx/Content/images/products/img_large/0020516000000L.jpg
Superama,25,jamón de pavo zwan  virginia por kg,106.00,http://www.superama.com.mx/Content/images/products/img_large/0020520700000L.jpg
Superama,26,jamón de pierna capistrano  clásico por kg,140.00,http://www.superama.com.mx/Content/images/products/img_large/0020518400000L.jpg
Superama,27,jamón de pierna capistrano  york por kg,172.00,http://www.superama.com.mx/Content/images/products/img_large/0020368000000L.jpg
Superama,28,jamón de pierna fud  york por kg,180.00,http://www.superama.com.mx/Content/images/products/img_large/0020567400000L.jpg
Superama,29,jamón de pierna fud fino york por kg,1278.00,http://www.superama.com.mx/Content/images/products/img_large/0750104000117L.jpg
Superama,30,jamón de pierna obertal  por kg,234.00,http://www.superama.com.mx/Content/images/products/img_large/0020553500000L.jpg
Superama,31,jamón de pierna parma campestre 250 g,37.00,http://www.superama.com.mx/Content/images/products/img_large/0750151849333L.jpg
Superama,32,jamón de pierna peñaranda  kilo,292.00,http://www.superama.com.mx/Content/images/products/img_large/0020365100000L.jpg
Superama,33,jamón de pierna peñaranda  york por kg,272.00,http://www.superama.com.mx/Content/images/products/img_large/0020501800000L.jpg
Superama,34,jamón de pierna sabori  extrafino por kg,164.00,http://www.superama.com.mx/Content/images/products/img_large/0020564800000L.jpg
Superama,35,jamón de pierna san rafael  real por kg,184.00,http://www.superama.com.mx/Content/images/products/img_large/0020548100000L.jpg
Superama,36,jamón de pierna san rafael balance por kg,218.00,http://www.superama.com.mx/Content/images/products/img_large/0020548000000L.jpg
Superama,37,jamón de pierna tangamanga  listón azul por kg,206.00,http://www.superama.com.mx/Content/images/products/img_large/0020501400000L.jpg
Superama,38,jamón de pierna zwan  premium por kg,154.00,http://www.superama.com.mx/Content/images/products/img_large/0020520500000L.jpg
Superama,39,jamón de pierna zwanenberg  estilo holandés por kg,160.00,http://www.superama.com.mx/Content/images/products/img_large/0020526900000L.jpg
Superama,40,jamón holandes zwanenberg por kg,160.00,http://www.superama.com.mx/Content/images/products/img_large/0750105771001L.jpg
Superama,41,jamón ibérico bellota  loncheado 100 g,270.00,http://www.superama.com.mx/Content/images/products/img_large/0843521333200L.jpg
Superama,42,jamón ibérico señorío de olivenza  por kg,940.00,http://www.superama.com.mx/Content/images/products/img_large/0843700344536L.jpg
Superama,43,jamón iberico señorío de olivenza por kg,940.00,http://www.superama.com.mx/Content/images/products/img_large/0020576100000L.jpg
Superama,44,jamón peñaranda  a las finas hierbas 200 g,85.00,http://www.superama.com.mx/Content/images/products/img_large/0750300147594L.jpg
Superama,45,jamón peñaranda  a las finas hierbas por kg,296.00,http://www.superama.com.mx/Content/images/products/img_large/0020526000000L.jpg
Superama,46,jamón peñaranda  york 250 g,88.00,http://www.superama.com.mx/Content/images/products/img_large/0750222158008L.jpg
Superama,47,jamón selectos madariaga  bellota 100 g,286.00,http://www.superama.com.mx/Content/images/products/img_large/0843700535941L.jpg
